Announce Date,Target Name,Acquirer Name,Announced Total Value (mil.),Payment Type,Payment_Cash,Payment_Stock,Payment_Debt,TV/EBITDA,Target Ticker,Acquirer Ticker,Currency of Deal,Current/Completed Total Value,Deal Attributes,Current Target SIC Code,Current Acquirer SIC Code,Target Total Assets,Acquirer Total Assets,Acquirer Current Market Cap,Acquirer Price Earnings Ratio (P/E),Target Trailg 12Mth Dividend per Shar,Acquirer Trailg 12Mth Dividend per Shar,Target Dividend Payout Ratio,Acquirer Dividend Payout Ratio,Target Market Value of Equity,Acquirer Market Value of Equity,Acquirer Total Return Year To Date Pct,Target Trailg 12Mth Cashflow Net Inc,Acquirer Trailg 12Mth Cashflow Net Inc,Target R & D Expenditures,Acquirer R & D Expenditures,Target Inventories,Acquirer Inventories,Acquirer - Price Change 1 Year Percent (CHG_PCT_1Y),Acquirer - Price Change 5 Day Percent (CHG_PCT_5D),Acquirer Trailing 12 Mth COGS,Target Trailing 12 Mth COGS,Acquirer Trailing 12 month EBITDA per Share,Target Trailing 12 month EBITDA per Share,Target Sales/Revenue/Turnover,Acquirer Sales/Revenue/Turnover,Target Return on Common Equity,Acquirer Return on Common Equity,Target EBITDA(Earn Bef Int Dep & Amo),Acquirer EBITDA(Earn Bef Int Dep & Amo),Target Operating Margin,Acquirer Operating Margin,Target Total Debt to Total Assets,Acquirer Total Debt to Total Assets,Target Total Debt to Total Equity,Acquirer Total Debt to Total Equity,Target EBIT to Total Interest Expense,Acquirer EBIT to Total Interest Expense,Target Current Ratio,Acquirer Current Ratio,Target Financial Leverage,Acquirer Financial Leverage,Target GeoGrwth - Cash Flow per Share,Acquirer GeoGrwth - Cash Flow per Share,Target Net Income/Net Profit (Losses),Acquirer Net Income/Net Profit (Losses),Target Net Revenue Growth,Acquirer Net Revenue Growth,Target Asset Growth,Acquirer Asset Growth,Target Geometric Growth-EBITDA Tot Mkt VaL,Acquirer Geometric Growth-EBITDA Tot Mkt VaL
2009-01-26,Wyeth LLC,Pfizer Inc,64234.03,Cash and Stock,1,1,0,8.08,WYE US,PFE US,USD,64437.97,Company Takeover,2834,2834,44031.7,208160,151093,9.57198,1.18,1.72,34.4124,126.517,60598.2,141581,8.59776,4568.97,7771,3373.2,10437,2996.43,10654,1.12381,-2.3213,16067,5818.79,3.6666,5.80572,22833.9,62579,22.5359,8.89632,7953.81,21307,30.4207,22.7616,26.6609,32.3866,61.2254,77.6906,11.0032,5.0208,3.42772,1.15991,2.32046,2.41332,12.5694,-4.50128,4417.83,7771,,,3.07707,-2.45365,-13.8937,-12.309
2018-08-01,Energy Transfer Operating LP,Energy Transfer LP,59299.55,Stock,0,1,0,11.09,ETP US,ET US,USD,58486.85,Company Takeover,4610,4922,96742,141286,65004.7,15.0964,,1.325,,109.001,,56725.4,17.5582,-142,4433,,,1739,4770,-0.236472,1.11702,63495,25487,4.28482,5.7128,38954,85536,-0.613086,13.4016,6726,14811,7.69882,10.5535,54.0251,49.6107,155.034,142.292,1.19387,2.42792,1.04253,1.21919,4.2967,4.282,23.1161,1.60057,-142,4433,,,-5.42749,12.6862,,-4.69386
1998-01-13,BankAmerica Corp/Old,Bank of America Corp,57466.00,Stock,0,1,0,,2196Q US,BAC US,USD,42024.09,Company Takeover,6021,6021,260159,3.41174e+06,352232,12.7432,1.3,1.08,27.4277,27.9596,59232.3,396686,-9.98182,3356,30509,,,,,8.39552,-1.94366,,,,,23372,191567,17.0106,10.603,,,35.059,33.3298,17.118,24.2018,205.131,272.291,,,,,13.5542,12.1759,-26.7603,,3210,30509,6.67057,6.84042,3.7511,4.61286,,
2005-01-28,Gillette Co/The,Procter & Gamble Co/The,57278.56,Stock,0,1,0,18.63,1028411Q US,PG US,USD,61111.79,Company Takeover,2844,2840,,125231,369981,23.2742,,4.1769,,61.0834,50528.7,333053,11.6308,,16453,,2100,,7551,-9.58984,-3.82381,42046,,9.78021,3.30379,,84284,60.7373,31.4844,,23574,,24.2644,,28.3189,,67.8282,,22.548,,0.704199,,2.4647,,1.62457,,15974,,,,2.33799,,-0.146977
1999-04-22,Comcast MO Group LLC,AT&T Corp,55421.99,"Cash, Stock & Debt",1,1,1,98.62,UMGI US,653707Q US,USD,46490.11,Company Takeover,4841,4813,,,,,,,,,51764.1,,,,,,,,,,,,,,1.45614,,,31.4705,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-09,Anadarko Petroleum Corp,Occidental Petroleum Corp,55162.46,Cash and Stock,1,1,0,8.05,APC US,OXY US,USD,53011.67,Company Takeover,5172,1311,1085.67,84186,53866,35.1372,,0.96,,69.3689,,40545.4,32.5389,40.217,2326,,,24.448,1823,18.0301,5.44543,15080,6105.49,12.2246,,7643.47,21593,,6.18738,175.827,11931,1.20367,18.117,69.5232,26.8382,1151.13,61.7356,2.27666,3.1097,1.02339,0.936254,12.2188,3.23942,,20.1883,22.744,2326,,,,-1.47346,,
2004-01-14,Bank One Corp,JPMorgan Chase & Co,55065.91,Stock,0,1,0,,3621240Q US,JPM US,USD,58049.13,Company Takeover,6021,6021,326563,4.4249e+06,795827,14.881,1.159,5.8,33.312,28.8429,56865,868793,-7.34361,3950,57048,,,,,13.6041,-0.20518,,,,,20897,280345,16.8393,16.6928,,,29.9237,39.7896,35.2388,25.9747,491.383,317.118,,,,,13.1828,12.6333,-27.9054,,3535,57048,-2.09143,2.75462,17.475,10.5447,,
2016-11-21,ETP Legacy LP,Energy Transfer Operating LP,50745.62,Stock,0,1,0,12.37,9876456D US,ETP US,USD,49664.48,Company Takeover,4922,4610,88246,96742,,,,,,,,,,1694,-142,,,,1739,,,25487,41658,5.7128,5.76415,54087,38954,6.79119,-0.613086,8207,6726,9.88777,7.69882,49.1501,54.0251,138.355,155.034,2.5999,1.19387,0.725027,1.04253,3.40401,4.2967,,23.1161,1694,-142,,,13.1867,-5.42749,,
2014-08-10,Kinder Morgan Energy Partners LP,Kinder Morgan Inc,48881.88,Cash and Stock,1,1,0,9.69,KMP US,KMI US,USD,52662.64,Company Takeover,4922,4922,42764,72748,75131.7,26.1478,5.53,1.17,141.318,85.5563,43423.7,61159.1,24.8664,3179,3056,,,393,574,25.3132,4.03793,11484,8266,3.20023,12.26,12530,16937,7.87641,9.88119,4675,7189,25.7702,27.8916,49.406,44.2885,122.687,99.2912,3.74594,2.62299,0.582915,0.637205,2.6536,2.33665,1.37529,6.21598,3281,3056,,,22.2667,1.87797,4.52804,-5.27234
2007-02-26,Energy Future Holdings Corp,"Quintana Capital Group LP (Fund: Quintana Energy Partners LP),KKR Group Co Inc (Fund: KKR 2006 Fund LP),Goldman Sachs Capital Partners (Fund: GS Capital Partners VI LP),Energy Capital Partners LLC (Fund: Energy Capital Partners I LP),TPG Capital LP/US (Fund: TPG Partners IV LP),AXA SA (Fund: ...",48405.15,Cash,1,0,0,8.85,TXU US,,USD,48405.15,"Company Takeover, Additional Stake Purchase, Private Equity, PE Buyout",4911,,23330,,,,,,,,,,,-2555,,,,428,,,,,2684,,-0.274274,5370,,,,-3500,,-83.9106,,29.6614,,,,-2.54433,,0.507871,,,,,,-5342,,,,-20.2339,,,
