Announce Date,Target Name,Acquirer Name,Announced Total Value (mil.),Payment Type,Payment_Cash,Payment_Stock,Payment_Debt,TV/EBITDA,Target Ticker,Acquirer Ticker,Currency of Deal,Current/Completed Total Value,Deal Attributes,Current Target SIC Code,Current Acquirer SIC Code,Target Total Assets,Acquirer Total Assets,Acquirer Current Market Cap,Acquirer Price Earnings Ratio (P/E),Target Trailg 12Mth Dividend per Shar,Acquirer Trailg 12Mth Dividend per Shar,Target Dividend Payout Ratio,Acquirer Dividend Payout Ratio,Target Market Value of Equity,Acquirer Market Value of Equity,Acquirer Total Return Year To Date Pct,Target Trailg 12Mth Cashflow Net Inc,Acquirer Trailg 12Mth Cashflow Net Inc,Target R & D Expenditures,Acquirer R & D Expenditures,Target Inventories,Acquirer Inventories,Acquirer - Price Change 1 Year Percent (CHG_PCT_1Y),Acquirer - Price Change 5 Day Percent (CHG_PCT_5D),Acquirer Trailing 12 Mth COGS,Target Trailing 12 Mth COGS,Acquirer Trailing 12 month EBITDA per Share,Target Trailing 12 month EBITDA per Share,Target Sales/Revenue/Turnover,Acquirer Sales/Revenue/Turnover,Target Return on Common Equity,Acquirer Return on Common Equity,Target EBITDA(Earn Bef Int Dep & Amo),Acquirer EBITDA(Earn Bef Int Dep & Amo),Target Operating Margin,Acquirer Operating Margin,Target Total Debt to Total Assets,Acquirer Total Debt to Total Assets,Target Total Debt to Total Equity,Acquirer Total Debt to Total Equity,Target EBIT to Total Interest Expense,Acquirer EBIT to Total Interest Expense,Target Current Ratio,Acquirer Current Ratio,Target Financial Leverage,Acquirer Financial Leverage,Target GeoGrwth - Cash Flow per Share,Acquirer GeoGrwth - Cash Flow per Share,Target Net Income/Net Profit (Losses),Acquirer Net Income/Net Profit (Losses),Target Net Revenue Growth,Acquirer Net Revenue Growth,Target Asset Growth,Acquirer Asset Growth,Target Geometric Growth-EBITDA Tot Mkt VaL,Acquirer Geometric Growth-EBITDA Tot Mkt VaL
2010-03-29,Bell Microproducts Inc,Avnet Inc,555.56,Cash,1,0,0,10.18,BELM US,AVT US,USD,555.56,Company Takeover,5734,5065,856.976,12118.6,5167.6,19.4465,,1.36,,47.1699,224.902,4009.22,31.5516,6.612,207.486,,,295.692,5235.48,28.1472,-5.7066,20691.4,2812.61,6.88503,1.65039,3021.17,22200.8,63.7148,4.24227,50.757,650.219,1.31694,2.31638,42.3273,23.7463,1139.53,57.4222,,2.08705,1.23674,2.42696,43.6721,2.44819,,,7.522,240.217,,,9.57007,-0.742017,,-7.58972
2007-07-27,USB Holding Co Inc,KeyCorp,554.67,Cash and Stock,1,1,0,,UBH US,KEY US,USD,432.74,Company Takeover,6022,6021,,184381,22097.9,13.4386,,0.82,,53.461,,19568.8,-0.218014,,1829,,,,,19.7585,-2.85714,,,,,,11228,,10.0486,,,,30.8104,,6.16007,,55.7284,,,,,,11.0722,,3.06035,,1829,,63.4893,,-1.48904,,
2007-07-19,Sterling Financial Corp/PA,PNC Financial Services Group Inc/The,553.98,Cash and Stock,1,1,0,,SLFI US,PNC US,USD,539.31,Company Takeover,6021,6021,,573572,85317,12.7583,,6.6,,39.4863,,81491.1,2.91771,,6936,,,,,12.2434,-2.16144,,,,,,33996,,12.7898,,,,36.7375,,10.2923,,97.358,,,,,,10.9523,,0.291033,,6936,,7.16307,,2.41662,,
2007-07-19,Partners Trust Financial Group Inc,M&T Bank Corp,553.78,Cash or Stock,1,1,0,,3097837Q US,MTB US,USD,553.78,Company Takeover,6035,6022,3746.84,213510,32160.2,12.7869,0.28,5.7,52.2063,33.3457,516.165,30591.2,8.75383,18.922,2851,,,,,14.7106,-0.457624,,,,,201.444,13228,3.81979,10.1857,,,29.5061,38.1011,25.7745,6.42218,195.163,46.9959,,,,,7.35834,7.9586,,25.3967,23.524,2851,-15.6849,4.42936,-0.849446,2.59725,,
1998-07-21,DePuy Synthes Inc,Johnson & Johnson,553.51,Cash,1,0,0,13.68,2775854Q US,JNJ US,USD,553.51,Company Takeover,3842,2834,,199210,591968,26.6365,,5.14,,46.1649,2791.55,499960,18.9794,,26804,,14665,,14191,46.3355,-0.663879,30256,,13.6753,2.56187,,94193,-2.56574,35.0301,,33318,,27.088,,24.7643,,60.4986,,23.5161,,1.02768,,2.47863,,2.65188,,26804,,,,10.6083,,-0.405175
2011-04-27,LoopNet Inc,CoStar Group Inc,552.93,Cash and Stock,1,1,0,25.62,1556530D US,CSGP US,USD,568.43,Company Takeover,6531,7389,,10538,19054.4,303.342,,,,,666.177,28099.6,-31.1571,,7,,406,,,-38.8911,-6.24618,686,,0.523723,0.251739,,3247,1.98193,0.0941945,,191,,-2.21743,,11.2355,,14.1441,,,,2.84048,,1.24304,,-4.17356,,7,,,,13.8406,,13.9207
2003-03-13,F&M Bancorp/MD,Mercantile Bankshares Corp,552.70,Cash or Stock,1,1,0,,679882Q US,1552309D US,USD,,Company Takeover,6021,6022,2094.99,,,,1.14,,36.8699,,530.896,5875.95,,27.286,,,,,,,,,,,,143.375,,14.6429,12.5019,,,33.9591,,14.1807,,161.234,,,,,,11.3069,,2.73014,,24.459,,8.13045,,11.3505,,,
2021-09-21,Sierra Income Corp,Barings BDC Inc,545.64,Cash and Stock,1,1,0,,SIRR US,BBDC US,USD,546.61,Company Takeover,,6159,677.708,2636.38,892.082,7.28746,0.09,1.19,,122.883,,961.209,-7.18954,54.8494,101.924,,,,,-16.9036,-2.45995,,,1.81335,,-2.75066,279.21,10.4745,8.67048,,190.779,,54.4475,,54.5182,,123.833,,,,,1.43588,2.26795,,,-53.1168,101.924,-609.989,8.0012,-26.8041,-2.19898,,
2010-08-26,Wesco Financial Corp,Berkshire Hathaway Inc,545.48,Cash or Stock,1,1,0,,1556464D US,BRK/A US,USD,,"Company Takeover, Additional Stake Purchase",6331,6331,,1.22218e+06,1.02553e+06,28.6044,,,,,2771.03,1.08557e+06,-4.76017,,66968,,,,24424,-6.15324,-3.11955,264148,,76896.3,,,410522,0.23869,9.79933,,112241,,23.6572,,11.0762,,18.8093,,19.1592,,2.4966,,1.73843,,5.08321,,66968,,,,5.91872,,
2003-02-18,Allen Telecom LLC,CommScope Technologies LLC,543.94,Stock,0,1,0,16.17,3386070Q US,ANDW US,USD,661.12,"Company Takeover, Tender Offer",3663,3663,530.038,2350.53,,,,,,,299.605,2250.3,,13.657,-162.822,26.031,111.174,100.474,364.151,,,1724.57,319.186,1.09416,1.45501,416.975,2195.11,3.97416,-11.2687,33.639,-36.568,4.23694,-5.2585,14.5954,14.6782,23.8581,24.9552,2.23237,-6.43745,2.39622,1.39105,1.95836,1.64698,,-27.1355,3.395,-162.822,,,3.31984,-2.42382,4.99821,
2001-06-29,Duramed Pharmaceuticals Inc,Barr Pharmaceuticals Inc,543.51,Stock,0,1,0,39.29,974608Q US,BRL US,USD,563.92,Company Takeover,2834,2834,,4761.63,,,,,,,551.212,7145.95,,,143.508,,248.453,,501.207,,,1195.58,,7.67522,0.638919,,2500.58,105.931,7.51061,,859.511,,22.4625,,43.6774,,109.204,,3.53528,,2.24575,,1.8787,,8.10274,,128.35,,,,147.818,,3.88441
2016-12-14,Southwest Bancorp Inc,Simmons First National Corp,543.02,Cash and Stock,1,1,0,,OKSB US,SFNC US,USD,529.73,Company Takeover,6022,6021,2475.39,24540.9,2882.87,,0.32,0.85,34.858,,477.434,2728.78,6.41909,21.52,-397.553,,,,,-8.20348,-1.56786,,,,,105.225,627.844,7.35448,-11.4435,,,28.801,-511.129,9.29982,2.61339,80.3153,18.7571,,,,,8.29276,7.40013,-9.67812,12.6751,17.704,-397.553,16.6768,-86.6905,5.02202,-8.68867,,
2000-07-26,Telxon Corp,Symbol Technologies LLC,542.19,Stock,0,1,0,,TLXN US,2987536Q US,USD,438.15,Company Takeover,3571,3577,,1816.31,,,,0.01,,15.31,307.002,3781.29,,,103.832,,154.923,,182.201,,,975.12,,1.00021,-4.48158,,1765.63,166.876,8.30819,,168.006,,5.50341,,5.63534,,8.47836,,8.02726,,1.46697,,1.6656,,,,32.247,,,,-8.30767,,-10.4005
2018-06-19,First Connecticut Bancorp Inc/Farmington CT,People's United Financial Inc,540.61,Stock,0,1,0,,1752683D US,PBCT US,USD,486.90,Company Takeover,6036,6035,3055.05,64642.4,,,0.62,0.7275,48.5304,52.0988,489.988,7625.53,,18.835,604.9,,,,,,,,,,,111.982,1994.9,6.82077,7.87006,,,31.9975,40.0063,8.70552,3.39189,97.614,27.7481,,,,,11.0631,8.50631,-5.80598,21.1523,16.189,604.9,11.8522,-8.49891,7.66487,2.45769,,
2008-06-09,Third Wave Technologies Inc,Hologic Inc,539.22,Cash,1,0,0,,0118440Q US,HOLX US,USD,,"Company Takeover, Tender Offer, Private Equity, PE Seller",2836,3844,,9014.9,16832.7,20.7023,,,,,405.115,16618.4,1.18808,,543.9,,248.2,,679.4,19.1165,0.0265428,2002.6,,4.68015,-0.547197,,4100.5,-95.9631,10.858,,1047.4,,17.4198,,29.1384,,52.0375,,6.09991,,3.75368,,1.78533,,6.49342,,565.7,,,,-1.54107,,3.13991
2007-07-09,First Indiana Corp,Marshall & Ilsley Corp,538.31,Cash,1,0,0,,FINB US,2213185D US,USD,538.31,Company Takeover,6021,6022,,50832,,,,0.04,,,,,,,-517.107,,,,,,,,,,,,3043.15,,,,,,-36.9821,,10.3412,,82.9268,,,,,,10.9438,,-5.06901,,-515.871,,-2.14712,,-11.1485,,
2018-06-28,Keryx Biopharmaceuticals Inc,Akebia Therapeutics Inc,537.71,Stock,0,1,0,,KERX US,AKBA US,USD,468.26,Company Takeover,2834,2834,158.872,220.67,330.831,,,,,,409.308,724.067,-22.0497,-90.838,-15.905,37.679,62.359,28.695,15.61,-30.8333,,39.462,35.345,0.138182,-0.73114,170.301,236.196,,,-100.754,-7.268,-59.7125,-21.3687,78.6797,21.5888,,,-1.61504,,3.11682,1.40681,,,,,-163.44,-5.345,,,,,,
1999-10-11,Authentic Fitness Corp,Warnaco Group Inc/Old,536.29,Cash and Debt,1,0,1,7.15,9872579Q US,WACGQ US,USD,536.29,Company Takeover,,2341,323.226,2343.06,,,0.048,,4.11093,,356.191,59.2189,,26.79,-420.668,,,72.257,483.111,,,1693.21,249.31,-1.8977,3.7969,410.817,2249.94,22.4174,-143.532,69.852,197.163,13.9868,4.22608,30.1093,68.1531,73.9516,2071.06,4.06394,0.542574,1.28627,0.316181,2.26378,7.9729,,,21.929,-344.183,,,2.23431,-15.1982,,-3.29901
2015-03-30,Norcraft Cos Inc,Fortune Brands Innovations Inc,534.92,Cash,1,0,0,12.45,NCFT US,FBIN US,USD,534.92,"Company Takeover, Tender Offer",2430,1520,296.229,6520.6,6030.62,14.2789,,1,,40.3949,442.657,6162.15,2.66821,4.225,298.8,,,23.23,1024.9,-19.4898,-9.30771,2473.8,282.802,5.8803,2.60311,376.012,4463.2,9.62426,12.4267,45.724,772.3,9.92841,11.5635,49.9148,43.2261,263.879,118.002,,4.48003,3.65825,1.84229,6.78236,2.71949,,-7.80573,3.223,298.8,,,11.5883,-0.627876,,-4.43888
2003-05-05,LendingTree Inc/old,Match Group Inc,534.11,Stock,0,1,0,25.87,2960654Q US,MTCH US,USD,656.68,Company Takeover,7375,5990,50.687,4460.81,7077.04,12.8445,,,,,265.936,7508.41,-4.76625,15.37,613.446,2.87,449.508,,,1.15932,-2.14126,948.374,20.373,4.16183,0.925406,111.406,3487.2,,,14.952,1001.59,7.72041,25.0209,1.83479,91.7096,2.78978,,21.0293,5.91341,2.65729,1.41801,,,,4.39623,8.901,613.446,,,81.4722,-0.111067,,-27.7401
2016-09-20,Tobira Therapeutics Inc,Allergan Ltd/Ireland,533.58,Cash,1,0,0,,TBRA US,AGN US,USD,533.58,"Company Takeover, Tender Offer",2834,2834,65.469,94699.1,,,,2.96,,,236.325,58389.9,,-57.162,-2485,24.672,1812,,1133.1,,,2618.4,,8.38153,-3.23961,,16088.9,-146.771,-4.15761,-52.74,1743.3,,-27.6296,23.0857,24.5192,35.337,39.8985,-17.1006,-5.67727,8.52095,1.00506,,1.59373,,16.5985,-49.617,-5271,,,684.436,-6.96401,,-31.7541
2012-11-05,Metropolitan Health Networks Inc,Humana Inc,533.30,Cash,1,0,0,5.60,MDF US,HUM US,USD,533.30,Company Takeover,6324,6324,,48909,21703.7,10.8149,,3.54,,35.8586,412.884,30887.1,-29.6764,,1188,,,,,-31.0813,3.3612,110812,,29.2517,2.13796,,129664,21.1104,6.98166,,3528,,2.08539,,25.9155,,71.4608,,4.28526,,2.00251,,2.80289,,-29.0924,,1188,,,,5.22817,,-1.24834
2003-12-10,Systems & Computer Technology Corp,FIS Capital Markets US LLC,530.19,Cash,1,0,0,11.55,546628Q US,764144Q US,USD,530.19,Company Takeover,7373,7372,349.43,6507,,,,,,,401.909,,,17.502,233,42.6,376,,114,,,1102,166.014,,1.36202,269.639,2809,7.61713,120.725,45.91,669,11.3307,15.1655,9.15491,71.7535,13.2754,2277.56,15.6838,1.46392,3.31648,1.25252,1.55824,15.8839,0.00428664,,17.502,-224,,,-4.6958,-33.4254,1.78133,
2018-11-30,EQGP Holdings LP,Equitrans Midstream Corp,529.30,Cash,1,0,0,6.52,EQGP US,ETRN US,USD,529.30,"Company Takeover, Additional Stake Purchase, Option Agreement",4922,4922,3549.62,11709.4,,,1.107,0.6,81.8896,67.2119,6300.22,5646.47,,351.801,455.69,,,,,,,467.388,242.217,2.41044,3.28966,834.096,1393.93,,38.8914,675.178,1040.55,69.2598,49.097,27.8157,65.0383,45.9614,348.044,13.4504,1.60319,0.691565,0.760663,,11.287,,-3.7642,261.993,445.229,,,15.3806,12.0993,,-3.69175
1998-05-26,Hyperion Software Corp,Hyperion Solutions Corp,529.04,Stock,0,1,0,,HYSW US,HYSL US,USD,,Company Takeover,7372,7372,0.218639,,,,,,,,,2103.5,,5.89744,,0.033046,,,,,,,,2.31389,,0.22283,,,11.0876,,,9.9089,,3.83555,,,,63.2665,,1.43674,,,,,,0.011878,,,,,,,
2005-04-04,Mission Resources Corp,Petrohawk Energy Corp,528.69,Cash or Stock,1,1,0,7.11,MSSN US,0167866D US,USD,538.59,Company Takeover,1311,1311,377.903,,,,,,,,291.314,,,5.425,,,,,,,,,63.922,,1.81453,128.707,,5.22215,4.30329,71.828,,21.4433,,44.9851,,151.779,,1.36096,,0.737214,,3.93286,,-10.7839,,2.949,,,,5.75861,,6.54602,
2000-10-30,About Inc,RentPath LLC,528.66,Stock,0,1,0,,3424599Q US,1938073D US,USD,255.14,Company Takeover,7373,2721,,,,,,,,,597.707,217.046,,,,,,,,,,,,1.45305,-0.183921,,,-33.9573,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-14,Vitae Pharmaceuticals LLC,Allergan Ltd/Ireland,528.22,Cash,1,0,0,,VTAE US,AGN US,USD,528.22,"Company Takeover, Tender Offer",2834,2834,61.8463,94699.1,,,,2.96,,,311.195,58389.9,,-44.932,-2485,35.5514,1812,,1133.1,,,2618.4,,8.38153,-1.94264,0.579674,16088.9,-60.1235,-4.15761,-44.0702,1743.3,-7640.5,-27.6296,,24.5192,,39.8985,-410.176,-5.67727,8.34094,1.00506,1.14419,1.59373,,16.5985,-43.9827,-5271,,,-8.59228,-6.96401,,-31.7541
2021-11-19,Spirit of Texas Bancshares Inc,Simmons First National Corp,526.06,Stock,0,1,0,6.86,STXB US,SFNC US,USD,424.27,Company Takeover,6022,6021,3266.04,24540.9,2882.87,,0.42,0.85,17.1589,,497.377,2728.78,6.41909,42.052,-397.553,,,,,-8.20348,-1.56786,,,,4.16608,139.595,627.844,11.1456,-11.4435,71.556,,41.1313,-511.129,2.43895,2.61339,20.227,18.7571,,,,,8.41617,7.40013,25.6414,12.6751,42.052,-397.553,2.70489,-86.6905,5.8766,-8.68867,,
2006-12-04,St Francis Medical Technologies Inc,Kyphon Americas Inc,525.00,Cash,1,0,0,,SFMT US,KYPH US,USD,525.00,"Company Takeover, Private Equity",,3841,,428.606,,,,,,,,3238.18,,,-64.731,,39.971,,11.869,,,69.159,,0.876517,,,407.79,,-20.9108,,67.909,,15.0163,,,,,,,,4.10575,,1.25301,,,,39.732,,,,35.3641,,
1999-05-06,Avondale Industries Inc,Litton Industries Inc,523.81,Cash and Debt,1,0,1,9.31,1479853D US,3691661Q US,USD,54.68,Company Takeover,3731,3812,397.202,4835.88,,,,,,,391.199,3618.65,,39.081,226.107,,331.5,33.603,756.544,,,4218.41,,14.691,4.15909,748.936,5588.24,17.9936,15.0596,55.834,668.714,6.26222,8.57596,13.046,28.9357,24.6269,93.5453,12.7897,4.21533,2.11303,1.32656,1.8427,3.23631,18.2721,-1.00978,36.945,218.399,,,5.74711,15.1435,-11.6937,-1.47129
2016-11-17,Cascade Bancorp,First Interstate BancSystem Inc,523.42,Cash and Stock,1,1,0,,CACB US,FIBK US,USD,534.47,Company Takeover,6022,6022,3079.06,26640.6,3477.46,11.5988,,1.88,,64.3165,587.991,3498.26,0.822696,21.593,302.1,,,,,12.4183,-3.03712,,,,,124.723,1411.4,6.01213,8.94979,,,22.305,36.9947,,2.91172,,22.5036,,,,,7.85233,8.26218,9.17198,-6.71533,16.771,302.1,18.4379,5.91177,24.7578,-8.56906,,
1998-11-09,Primadonna Resorts Inc,MGM Resorts International,522.01,Stock,0,1,0,5.73,PRMA US,MGM US,USD,,Company Takeover,7011,7011,470.695,41373.8,8892.6,16.4132,,,,,221.546,9426.21,-3.56263,21.986,205.862,,,1.687,124.535,5.57397,0.342368,9747.55,,15.6607,3.15496,287.821,17537.7,10.0842,7.54986,103.872,4309.95,25.9192,5.71216,47.2501,75.835,105.089,957.654,3.08014,2.37872,0.938351,1.23357,2.10993,15.3309,,,32.402,205.862,,,,-2.03128,,-19.4205
2012-11-05,KBW LLC,Stifel Financial Corp,520.40,Cash and Stock,1,1,0,,KBW US,SF US,USD,568.55,Company Takeover,6211,6211,,41270.8,11355.2,13.7774,,1.22667,,29.4563,497.156,12730.4,-10.897,,683.779,,,,,7.48647,-1.59278,,,12.2444,-1.21213,,6347.53,-7.02106,12.5606,,1898.27,,15.7537,,8.55443,,59.0646,,,,,,7.88475,,-7.16443,,683.779,,11.255,,3.44711,,
2013-06-06,New Young Broadcasting Holding Co Inc,Media General Inc,519.89,Stock,0,1,0,,NYBH US,1811934D US,USD,914.44,Company Takeover,,4833,,4408.35,,,,,,,,2383.05,,,-61.567,,,,,,,,,1.82806,,,1304.94,,-4.42302,,250.114,,6.28334,,51.0401,,152.812,,0.685316,,2.25276,,3.0884,,-20.4766,,-39.459,,,,-6.1543,,19.6504
2002-11-11,DIANON Systems Inc,Laboratory Corp of America Holdings,519.51,Cash,1,0,0,12.99,DIAN US,9980328D US,USD,519.51,Company Takeover,8071,8071,,16725.1,,,,,,,570.451,,,,746,,,,474.6,,,9384.5,,,3.43306,,13008.9,6.95504,,,1730.2,,8.35351,,35.6004,,75.4604,,5.21699,,1.16749,,2.05214,,,,746,,,,,,
2003-08-04,Sangstat Medical LLC,Genzyme Corp,519.26,Cash,1,0,0,41.19,1940421D US,GENZ US,USD,519.26,"Company Takeover, Tender Offer",2836,2836,192.437,10913.9,,,,,,,345.95,18519.6,,7.462,422.144,18.913,847.284,27.161,586.94,,,1191.54,58.907,2.00928,0.476765,120.057,4048.71,5.76069,5.52884,10.414,531.273,6.35032,0.884974,10.5328,10.1389,15.6011,14.5847,2.63078,1.00011,3.61355,2.83389,1.89178,1.37352,,,6.349,422.144,,,67.9807,8.47981,,
2021-07-14,Reliant Bancorp Inc,United Community Banks Inc/GA,518.02,Stock,0,1,0,,RBNC US,UCB US,USD,580.34,Company Takeover,6022,6022,3026.53,28002.6,3795.33,11.8551,0.46,0.98,19.8236,37.363,527.014,3765.08,2.32223,50.709,328.095,,,,,-0.468459,-3.32326,,,,,151.83,1536.98,15.2876,9.00915,,,29.3569,39.732,3.12823,0.769287,29.4053,5.92027,,,,,9.03086,7.88885,,10.662,31.412,328.095,,11.6611,,1.01837,,
2000-10-04,Quantum Corp - Hard Disk Drive Group,Maxtor Corp,517.12,Stock,0,1,0,6.83,HDD US,MXO US,USD,340.08,Company Takeover,7375,3572,1478.05,,,,,,,,632.534,2487.89,,21.466,,242.383,,122.347,,,,,2873.69,0.231358,0.762054,3311.58,,3.30345,-24.3076,-62.947,,-3.97146,,7.36038,,15.3972,,-13.9809,,2.08635,,1.96822,,,,-104.77,,,,0.550696,,,
2017-02-02,Ultratech Inc,Veeco Instruments Inc,516.83,Cash and Stock,1,1,0,31.87,UTEK US,VECO US,USD,549.16,Company Takeover,3559,3559,415.572,1325.8,1929.53,45.1106,,,,,806.735,1725.9,11.9314,15.358,35.39,35.201,119.641,50.475,275.298,50.3533,9.25749,398.885,109.199,1.10943,0.744366,194.051,664.294,4.28072,4.27343,16.218,61.827,4.1855,5.37518,0.482227,19.7625,0.548743,29.5886,188.884,3.90838,10.0289,4.74759,1.13816,1.55612,,5.668,11.237,35.39,,,6.77705,5.92996,,11.2756
2015-04-20,LRR Energy LP,Vanguard Natural Resources LLC,516.57,Stock,0,1,0,16.28,LRE US,VNRSQ US,USD,410.48,Company Takeover,6531,2911,,1309.29,,,,,,,,,,,699.378,,,,,,,305.392,,-0.782766,,,344.608,,,,-652.165,,-232.715,,135.098,,,,-8.40915,,0.0820884,,,,-16.8069,,-815.089,,,,-51.4286,,
1999-05-07,J Ray McDermott SA,McDermott International Inc,516.41,Cash,1,0,0,8.19,JRM US,MDRIQ US,USD,516.41,"Company Takeover, Additional Stake Purchase",1629,3443,1181.97,8737,,,,,,,1166.95,11.194,,124.159,-4231,,36,32.357,52,,,8045,1062.85,-14.6112,4.27571,1279.57,8431,17.9477,,169.822,-1674,8.83586,-24.6946,0.176654,63.5916,0.304004,,4.31432,,0.896579,0.376429,2.09516,,,,124.159,-2909,,,-23.6806,-7.44703,,
2014-09-24,Civitas Therapeutics Inc,Acorda Therapeutics Inc,516.11,Cash,1,0,0,,CVTS US,ACORQ US,USD,516.11,"Company Takeover, Private Equity",2836,2836,36.123,108.525,,,,,,,,16.4094,,,-263.425,15.526,5.152,,16.155,,,15.756,,-198.863,,0.053,117.633,,,-24.969,-231.569,-48552.8,-225.091,,4.38056,,,,-8.39695,7.12754,0.328371,,,,,-28.447,-252.854,,,46.6328,-72.5666,,
2000-05-15,Bradley Real Estate Inc,Heritage Property Investment Trust Inc,516.07,Cash,1,0,0,4.98,2724037Q US,2924917Q US,USD,516.07,Company Takeover,6798,6798,996.167,2458.23,,,1.51,1.575,113.529,335.886,472.119,1763.57,,38.597,23.859,,,,,,,,,4.52208,4.53115,154.833,351.416,9.21536,3.31787,100.459,216.744,47.7954,33.1041,44.6534,59.3428,85.7806,166.161,2.51677,1.3459,,,2.81693,2.69947,16.341,-24.2627,38.806,29.588,,,2.83757,4.4921,-1.65697,
2003-07-07,Nautica Enterprises Inc,VF Corp,515.38,Cash,1,0,0,7.18,NAUT US,VFC US,USD,515.38,"Company Takeover, Tender Offer",8731,2320,242.743,9377.54,7120.99,16.6881,,0.36,,202.087,106.715,7234.98,2.04646,-62.814,223.414,41.11,,,1627.03,-25.0616,-6.85382,4400.7,,2.90274,-0.552066,,9504.69,-32.0012,12.8967,-72.268,949.689,,3.19603,12.5557,57.2226,14.6016,360.778,,1.74446,17.4038,1.40337,1.15657,6.67271,,-11.5769,-59.001,-189.716,,,,-19.2494,,-6.15474
2005-12-16,Animas Corp,Johnson & Johnson,514.53,Cash,1,0,0,,1233306D US,JNJ US,USD,514.53,Company Takeover,3842,2834,,199210,591968,26.6365,,5.14,,46.1649,325.308,499960,18.9794,,26804,,14665,,14191,46.3355,-0.663879,30256,,13.6753,-0.0422285,,94193,-42.3496,35.0301,,33318,,27.088,,24.7643,,60.4986,,23.5161,,1.02768,,2.47863,,2.65188,,26804,,,,10.6083,,-0.405175
2017-05-01,Angie's List Inc,Match Group Inc,513.81,Cash or Stock,1,1,0,25.84,9895420D US,MTCH US,USD,,Company Takeover,7310,5990,157.394,4460.81,7077.04,12.8445,,,,,778.621,7508.41,-4.76625,-13.954,613.446,55.99,449.508,,,1.15932,-2.17322,948.374,33.127,4.16183,0.134661,323.329,3487.2,-198.86,,10.054,1001.59,-0.95692,25.0209,36.6227,91.7096,1280.93,,,5.91341,0.777433,1.41801,156.114,,,4.39623,-7.857,613.446,,,-9.23644,-0.111067,,-27.7401
2001-08-22,Arnold Industries Inc,Roadway LLC,513.79,Cash,1,0,0,5.74,AIND US,1608941D US,USD,513.79,Company Takeover,4213,4213,,,,,,,,,513.5,990.467,,,,,,,,,,,,9.97862,3.362,,,11.0863,9.69962,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-28,GetThere Inc,Sabre Holdings Corp,513.67,Cash,1,0,0,,2892365Q US,1528159D US,USD,513.67,Company Takeover,7372,4729,174.178,,,,,0.43,,,370.934,4249.95,,-48.723,155.638,5.274,,,,,,1578.69,15.974,3.54153,-3.44281,15.452,,,8.72785,-43.935,,-318.684,,4.49598,,5.00665,,,,11.388,,1.43339,,,,-47.798,,,,737.153,,,
2006-05-02,Advanced Digital Information Corp,Quantum Corp,513.38,Cash or Stock,1,1,0,15.65,ADIC US,QMCO US,USD,499.96,Company Takeover,3572,3572,,155.402,68.2132,,,,,,526.798,91.1707,-28.5271,,-100.816,,31.141,,22.434,-57.971,-14.2857,163.412,,-3.81784,0.530963,,274.058,5.32942,,,-33.187,,-15.2085,,68.3878,,,,-1.76558,,0.399081,,,,,,-115.091,,,,-17.1697,,
2011-07-26,S1 Corp,ACI Worldwide Inc,512.44,Cash or Stock,1,1,0,42.81,SONE US,ACIW US,USD,555.34,"Company Takeover, Tender Offer",7370,7372,309.653,3104.91,4128.81,18.2855,,,,,504.53,4863.23,-14.589,5.884,226.658,35.508,167.541,,,-25.6961,4.40123,897.651,126.229,4.11678,0.169661,209.086,1759.78,2.36703,15.4011,6.712,426.862,-2.15414,18.7474,1.64087,27.0609,2.13835,55.311,-9.8989,5.70322,1.70907,1.54343,1.3077,2.08269,,2.79698,-6.283,226.658,,,3.19496,2.63161,,-6.42539
2000-07-03,Circle International Group Inc,EGL Inc,511.41,Stock,0,1,0,9.90,9463766Q US,8285461Q US,USD,595.46,Company Takeover,4731,4581,545.392,,,,0.27,,20.1706,,444.21,1616.98,,26.217,,,,,,,,,539.047,3.3591,2.96115,814.077,,11.1279,15.8269,43.259,,3.3428,,7.96015,,17.5919,,9.11353,,1.42989,,2.25559,,-13.9581,,23.212,,,,10.4638,,1.53623,
1998-10-05,Sequus Pharmaceuticals Inc,ALZA Corp,511.28,Stock,0,1,0,,186651Q US,AZA US,USD,616.56,Company Takeover,2834,2834,42.228,,,,,,,,309.08,9677.43,,-9.115,,,,4.117,,,,,,1.54928,-0.264559,39.952,,-31.7038,21.6011,-22.84,,-62.1296,,11.8405,,19.4054,,-105.178,,2.93467,,1.38667,,,,-23.581,,,,-23.1771,,,
2014-11-05,Hudson Valley Holding Corp,Sterling Bancorp/DE,511.18,Stock,0,1,0,,HVB US,STL US,USD,566.09,Company Takeover,6022,6021,3138.57,29659.5,,,0.3,0.28,70.4482,13.5159,513.156,4962.91,,11.128,404.737,,,,,,,,,,,110.777,1053.95,3.76367,8.63007,,,11.2476,51.1091,0.897256,1.92184,9.46378,11.6801,,,,,10.5483,6.46642,-10.7544,,7.942,404.737,6.99731,0.318246,4.64694,-0.538787,,
1999-03-25,Norrell Corp,SFN Group Inc,511.04,Cash or Stock,1,1,0,6.23,152853Q US,0700161D US,USD,598.03,Company Takeover,7363,7363,509.284,,,,,,11.8916,,401.31,452.276,,30.312,,,,,,,,,,1.3544,2.8519,1410.52,,12.9587,7.42743,82.906,,4.83418,,24.5835,,54.3641,,13.3648,,1.75664,,2.16712,,77.3858,,36.799,,,,16.0513,,,
