Announce Date,Acquirer Ticker,Target Ticker,Deal Description
2014-02-18,AGN US,1858968D US,"On 02/18/2014, Actavis agreed to acquire Forest Labs for USD 20,781.04M. This is the largest ever acquisition by Actavis at the time of announcement. The transaction completed on 07/01/2014. On 02/17/2014, it was announced that Actavis plc is nearing an agreement to acquire Forest Laboratorie..."
1999-10-04,2968900Q US,0616747D US,iHeartCommunications Inc acquired AMFM Inc for USD 20645.06M. The transaction was announced on 10/4/1999 and completed on 8/31/2000.
2021-04-15,TMO US,PPD US,Thermo Fisher Scientific Inc acquired PPD Inc for USD 20329.10M. The transaction was announced on 4/15/2021 and completed on 12/9/2021.
2005-04-04,CVX US,1799685D US,Chevron Corp acquired Unocal Corp for USD 19993.64M. The transaction was announced on 4/4/2005 and completed on 8/11/2005.
2007-05-29,,0574018D US,"A consortium led by Lehman Brothers Holdings Inc acquired Archstone-Smith Trust for USD 19956.53M. The transaction was announced on 05/29/2007 and completed on 10/08/2007. As of the completion date, this was the largest deal completed in the REITS-Apartments industry year to date."
2015-03-04,ABBV US,PCYC US,"On 05/21/2015 the terms were amended to USD 19,776.89M which consists of USD 152.25 in cash and 1.6639 in stock subject to proration. This is the  largest deal in the therapeutics industry in the last 12 months as of announcement date. The tender offer expired on 05/22/2015. On 03/04/2015, Ab..."
2020-07-13,ADI US,MXIM US,Analog Devices Inc acquired Maxim Integrated Products Inc for USD 19762.28M. The transaction was announced on 7/13/2020 and completed on 8/27/2021.
1998-08-20,AIG US,CRBG US,American International Group Inc acquired Corebridge Financial Inc for USD 19676.86M. The transaction was announced on 8/20/1998 and completed on 1/4/1999.
2018-10-14,LHX US,1927294D US,L3Harris Technologies Inc acquired L3 Technologies Inc for USD 19551.88M. The transaction was announced on 10/14/2018 and completed on 7/1/2019.
1995-07-31,DIS US,1423Q US,Walt Disney Co/The acquired Capital Cities/ABC Inc for USD 19544.28M. The transaction was announced on 7/31/1995 and completed on 2/10/1996.
2020-09-13,GILD US,IMMU US,Gilead Sciences Inc acquired Immunomedics Inc for USD 19375.24M. The transaction was announced on 9/13/2020 and completed on 10/26/2020.
1998-03-11,WM US,WMX US,Waste Management Inc acquired Waste Management Inc/Old for USD 19183.98M. The transaction was announced on 3/11/1998 and completed on 7/17/1998.
2008-07-10,DD US,ROH US,"The Dow Chemical Co acquired Rohm & Haas Co for USD 18,862.28M. The transaction was announced on 07/10/2008 and completed on 04/02/2009. The new business will be called Dow's Advanced Materials division and is intended to achieve $3.0 billion in additional value growth opportunities, as well ..."
2000-06-25,MO US,NA US,Altria Group Inc acquired Nabisco Holdings Corp for USD 18807.54M. The transaction was announced on 6/25/2000 and completed on 12/12/2000.
2006-06-23,APC US,0544749D US,Anadarko Petroleum Corp acquired Kerr-McGee Corp for USD 18355.68M. The transaction was announced on 6/23/2006 and completed on 8/11/2006.
2018-07-11,AVGO US,2326248D US,"Broadcom Inc announced the acquisition of CA Inc for USD 18,128.00M. The transaction was announced on 07/11/2018 and was completed on 11/06/2018. At the time of announcement, this was the largest transaction by Broadcom Inc on record. On 07/11/2018, it was reported that Broadcom Inc, a semico..."
2011-09-21,RTX US,GR US,United Technologies Corp acquired Goodrich Corp for USD 17975.13M. The transaction was announced on 09/21/2011 and completed on 07/27/2012. This was the largest aerospace and defense equipment acquisition in United States as of the announcement date.
2015-12-14,NWL US,JAH US,"On 12/14/2015, Jarden Corporations and Newell Rubbermaid Inc announced an agreement to merge under which Jarden shareholders will receive USD 21.00 and 0.8620 Newell shares per share. Previously on 12/07/2015, DJ reported that Newell Rubbermaid Inc may combine with Jarden Corp. The transactio..."
1998-06-19,BRK/A US,134618Q US,Berkshire Hathaway Inc acquired General Re Corp for USD 17654.19M. The transaction was announced on 6/19/1998 and completed on 12/22/1998.
2007-07-23,RIG US,4134807Q US,Transocean Ltd acquired GlobalSantaFe Corp for USD 18176.48M. The transaction was announced on 07/23/2007 and completed on 11/27/2007. This was the biggest deal completed in  the oil and gas drilling industry on record as of the completion date.
2015-01-26,9876456D US,1793839D US,"Energy Transfer Partners LP announced the acquisition of Regency Energy Partners LP for USD 17,429.94. The transaction was announced on 01/26/2015 and was completed on 04/30/2015. At the time of announcement, this is Energy Transfer Partners LP's largest acquisition on record."
