Announce Date,Acquirer Ticker,Target Ticker,Deal Description
2016-01-28,PNFP US,AVNU US,Pinnacle Financial Partners In acquired Avenue Financial Holdings Inc for USD 201.26M. The transaction was announced on 1/28/2016 and completed on 7/1/2016.
1999-07-12,FITB US,3184063Q US,Fifth Third Bancorp acquired Peoples Bank Corp Of Indianapolis for USD 200.52M. The transaction was announced on 7/12/1999 and completed on 11/22/1999.
2013-03-06,ECPG US,AACC US,Encore Capital Group Inc acquired Asset Acceptance Capital Corp for USD 200.01M. The transaction was announced on 3/6/2013 and completed on 6/14/2013.
2000-06-07,,EOPN US,A consortium led by International Business Machine acquired E2open LLC for USD 200.00M. The transaction was completed on 6/7/2000.
2001-05-29,2860436Q US,UCOMA US,Liberty Interactive LLC acquired UnitedGlobalCom LLC for USD 200.00M. The transaction was announced on 5/29/2001 and completed on 1/31/2002.
1999-06-07,YELLQ US,JEVC US,Yellow Corp acquired Jevic Transportation Inc for USD 199.93M. The transaction was announced on 6/7/1999 and completed on 7/12/1999.
1998-02-17,FLTWQ US,0526916D US,Fleetwood Enterprises Inc acquired HomesUSA Inc for USD 199.78M. The transaction was announced on 2/17/1998 and completed on 8/11/1998.
2001-09-24,GE US,IMAT US,General Electric Co acquired Imatron Inc for USD 199.33M. The transaction was announced on 9/24/2001 and completed on 12/20/2001.
2007-05-08,EXAR US,SIPX US,Exar Corp acquired Sipex Corp for USD 199.31M. The transaction was announced on 5/8/2007 and completed on 8/27/2007.
2008-05-12,CMTL US,RADN US,Comtech Telecommunications Corp acquired Radyne Corp for USD 198.98M. The transaction was announced on 5/12/2008 and completed on 8/4/2008.
1999-11-03,510639Q US,3340Q US,National Realty LP acquired American Realty Trust Inc/TX for USD 198.87M. The transaction was announced on 11/3/1999 and completed on 8/3/2000.
2018-01-24,ORA US,HTM US,Ormat Technologies Inc acquired US Geothermal Inc for USD 198.78M. The transaction was announced on 1/24/2018 and completed on 4/24/2018.
2009-12-03,SHLM US,ICOC US,Lyondellbasell Advanced Polymers Inc acquired ICO Inc for USD 198.56M. The transaction was announced on 12/3/2009 and completed on 5/3/2010.
2013-09-12,,DFZ US,A consortium led by Mill Road Capital Management LLC acquired RG Barry Corp for USD 197.81M. The transaction was announced on 9/12/2013 and completed on 9/4/2014.
2000-06-09,1746513D US,CGRM US,CommScope Connectivity LLC acquired Centigram Communications Corp for USD 197.57M. The transaction was announced on 6/9/2000 and completed on 7/27/2000.
2006-12-20,PONE US,IASG US,Protection One Inc acquired Integrated Alarm Services Group Inc for USD 197.34M. The transaction was announced on 12/20/2006 and completed on 4/3/2007.
1998-10-27,THG US,CIIZ US,Hanover Insurance Group Inc/The acquired Citizens Corp/MA for USD 196.63M. The transaction was announced on 10/27/1998 and completed on 12/4/1998.
1998-11-19,SFAM US,93876Q US,Lam Research Illinois IAG Inc acquired Integrated Process Equipment Corp for USD 196.41M. The transaction was announced on 11/19/1998 and completed on 4/7/1999.
2012-05-08,PACW US,1518080D US,PacWest Bancorp acquired First California Financial Group Inc for USD 196.33M. The transaction was announced on 5/8/2012 and completed on 6/4/2013.
2009-06-18,AXAS US,AXLP US,Abraxas Petroleum Corp acquired Abraxas Energy Partners LP for USD 196.16M. The transaction was announced on 6/18/2009 and completed on 12/31/2009.
1999-10-15,1996074D US,3435Q US,El Paso LLC acquired Crystal Gas Storage Inc for USD 195.95M. The transaction was announced on 10/15/1999 and completed on 1/6/2000.
1999-12-13,WSTL US,165291Q US,Westell Technologies Inc acquired Teltrend Inc for USD 195.84M. The transaction was announced on 12/13/1999 and completed on 3/17/2000.
2014-01-10,HTH US,SWS US,Hilltop Holdings Inc acquired SWS Group Inc for USD 195.83M. The transaction was announced on 1/10/2014 and completed on 1/2/2015.
2014-09-02,FLWS US,HARR US,1-800-Flowers.com Inc acquired Harry & David Holdings Inc for USD 195.80M. The transaction was announced on 9/2/2014 and completed on 10/2/2014.
2000-05-02,CLRN US,961392Q US,Clarent Corp acquired ACT Networks Inc for USD 195.69M. The transaction was announced on 5/2/2000 and completed on 8/11/2000.
2016-09-27,BSX US,GI US,Boston Scientific Corp acquired EndoChoice Holdings Inc for USD 195.46M. The transaction was announced on 9/27/2016 and completed on 11/22/2016.
1999-02-25,FHB US,SWBS US,First Hawaiian Inc acquired SierraWest Bancorp for USD 195.45M. The transaction was announced on 2/25/1999 and completed on 7/1/1999.
2001-03-12,NOVL US,CATP US,Micro Focus Software Inc acquired Cambridge Technology Partners Inc for USD 195.31M. The transaction was announced on 3/12/2001 and completed on 7/11/2001.
1999-05-21,WFRD US,DALY US,Weatherford International PLC acquired Dailey International Inc for USD 195.00M. The transaction was announced on 5/21/1999 and completed on 8/31/1999.
2006-10-12,INAPQ US,VSTH US,Internap Corp acquired VitalStream Holdings Inc for USD 194.82M. The transaction was announced on 10/12/2006 and completed on 2/22/2007.
2000-10-12,KLIC US,2670160Q US,Kulicke & Soffa Industries Inc acquired Cerprobe Corp for USD 194.78M. The transaction was announced on 10/12/2000 and completed on 12/1/2000.
1999-06-25,HCKT US,2738851Q US,Hackett Group Inc/The acquired Think New Ideas Inc for USD 194.11M. The transaction was announced on 6/25/1999 and completed on 11/8/1999.
2004-06-21,540513Q US,913636Q US,Banknorth Group Inc acquired BostonFed Bancorp Inc for USD 194.09M. The transaction was announced on 6/21/2004 and completed on 1/24/2005.
2014-12-12,ANDX US,QEPM US,Andeavor Logistics LP acquired Andeavor Midstream Partners LP for USD 194.08M. The transaction was announced on 12/12/2014 and completed on 7/23/2015.
1999-05-11,JLG US,2818Q US,JLG Industries Inc acquired Gradall Industries Inc for USD 193.83M. The transaction was announced on 5/11/1999 and completed on 6/24/1999.
2013-09-24,PRA US,EIHI US,ProAssurance Corp acquired Eastern Insurance Holdings Inc for USD 193.82M. The transaction was announced on 9/24/2013 and completed on 1/2/2014.
2016-04-28,9996201D US,CRPB US,Mechanics Bank/Walnut Creek CA acquired California Republic Bancorp for USD 193.39M. The transaction was announced on 4/28/2016 and completed on 10/3/2016.
1999-11-15,ASFZ US,3047Q US,Associates First Capital Corp acquired CitiFinancial Auto Ltd for USD 193.28M. The transaction was announced on 11/15/1999 and completed on 4/4/2000.
1999-09-23,0758969D US,ADKN US,Engage Inc acquired Adknowledge Inc for USD 193.00M. The transaction was announced on 9/23/1999 and completed on 12/22/1999.
1998-10-19,SRZ US,KARR US,Sunrise Senior Living LLC acquired Karrington Health Inc for USD 192.84M. The transaction was announced on 10/19/1998 and completed on 5/17/1999.
2002-03-18,MFE US,MCAF US,McAfee Inc acquired Mcafee.com Inc for USD 192.61M. The transaction was announced on 3/18/2002 and completed on 9/16/2002.
1999-08-16,534689Q US,FFOH US,Provident Financial Group Inc acquired Wells Fargo Financial Acceptance Ohio Inc for USD 192.55M. The transaction was announced on 8/16/1999 and completed on 2/7/2000.
2008-05-01,ADSK US,MFLO US,Autodesk Inc acquired Moldflow Corp for USD 192.32M. The transaction was announced on 5/1/2008 and completed on 6/26/2008.
2001-08-02,DMLP US,DHULZ US,Dorchester Minerals LP acquired Dorchester Hugoton -LP for USD 192.32M. The transaction was announced on 8/2/2001 and completed on 2/3/2003.
2010-05-05,BCR US,SENO US,CR Bard Inc acquired SenoRx LLC for USD 192.14M. The transaction was announced on 5/5/2010 and completed on 7/7/2010.
2013-03-18,CYNO US,PMTI US,Cynosure LLC acquired Palomar Medical Technologies Inc for USD 192.06M. The transaction was announced on 3/18/2013 and completed on 6/25/2013.
1998-01-15,3546Q US,GCTR US,Global Crossing North America Inc acquired GlobalCenter Group Inc for USD 192.06M. The transaction was announced on 1/15/1998 and completed on 3/2/1998.
2001-09-10,ASB US,UCBK US,Associated Banc-Corp acquired Signal Financial Corp for USD 192.00M. The transaction was announced on 9/10/2001 and completed on 2/28/2002.
2005-09-01,,HGGR US,A consortium led by Symphony Holdings Ltd/Hong Kong acquired Haggar Corp for USD 192.00M. The transaction was announced on 9/1/2005 and completed on 11/2/2005.
1999-06-02,GON US,OSL US,Geon Co/The acquired O'Sullivan Corp for USD 191.79M. The transaction was announced on 6/2/1999 and completed on 8/24/1999.
2010-11-30,UFCS US,MIGP US,United Fire Group Inc acquired Mercer Insurance Group Inc for USD 191.72M. The transaction was announced on 11/30/2010 and completed on 3/29/2011.
2019-04-26,ELAN US,PETX US,Elanco Animal Health Inc acquired Aratana Therapeutics Inc for USD 191.29M. The transaction was announced on 4/26/2019 and completed on 7/19/2019.
1998-05-18,1642488D US,HFNC US,First Charter Corp acquired HFNC Financial Corp for USD 191.12M. The transaction was announced on 5/18/1998 and completed on 10/1/1998.
2000-02-14,653707Q US,85711Q US,AT&T Corp acquired GRC International Inc for USD 191.04M. The transaction was announced on 2/14/2000 and completed on 3/28/2000.
2021-03-08,MIMOQ US,2554116D US,Airspan Networks Holdings Inc acquired Airspan Networks Inc for USD 191.00M. The transaction was announced on 3/8/2021 and completed on 8/13/2021.
2018-12-11,BBT US,SIFI US,Beacon Financial Corp acquired SI Financial Group Inc for USD 190.91M. The transaction was announced on 12/11/2018 and completed on 5/20/2019.
1999-11-03,WFC US,1373443D US,Wells Fargo & Co acquired Michigan Financial Corp for USD 190.79M. The transaction was announced on 11/3/1999 and completed on 3/30/2000.
2014-01-28,TYG US,TYN US,Tortoise Energy Infrastructure Corp acquired Tortoise North American Energy Corp for USD 190.49M. The transaction was announced on 1/28/2014 and completed on 6/23/2014.
2012-06-12,CAZA US,0615911D US,Cazador Acquisition Corp Ltd acquired Net Element Inc/Old for USD 190.08M. The transaction was announced on 6/12/2012 and completed on 10/3/2012.
2001-06-04,BAGL US,ENBBQ US,Einstein Noah Restaurant Group Inc acquired ENBC Corp for USD 190.00M. The transaction was announced on 6/4/2001 and completed on 6/19/2001.
2000-06-27,FLG US,HAVN US,Flagstar Bank FSB acquired Haven Bancorp Inc/NY for USD 189.90M. The transaction was announced on 6/27/2000 and completed on 12/1/2000.
2010-02-24,1477687D US,AMCS US,Merge Healthcare Inc acquired Merge Healthcare Solutions Inc for USD 189.74M. The transaction was announced on 2/24/2010 and completed on 4/29/2010.
1999-03-19,PARA US,3200Q US,Paramount Global acquired Spelling Entertainment Group LLC for USD 189.68M. The transaction was announced on 3/19/1999 and completed on 6/24/1999.
2004-06-25,KEY US,1313535D US,KeyCorp acquired EverTrust Financial Group Inc for USD 189.54M. The transaction was announced on 6/25/2004 and completed on 10/18/2004.
2017-02-13,IDTI US,1556442D US,Integrated Device Technology Inc acquired GigPeak Inc for USD 189.53M. The transaction was announced on 2/13/2017 and completed on 4/4/2017.
2009-09-28,COV US,ASPM US,Covidien Ltd acquired Aspect Medical Systems Inc for USD 189.29M. The transaction was announced on 9/28/2009 and completed on 11/9/2009.
1998-09-03,AN US,XC US,AutoNation Inc acquired Cross-Continent Auto Retailers Inc for USD 189.22M. The transaction was announced on 9/3/1998 and completed on 3/22/1999.
1998-02-24,BAX US,2928Q US,Baxter International Inc acquired Somatogen Inc for USD 188.30M. The transaction was announced on 2/24/1998 and completed on 5/5/1998.
2007-07-02,WAFD US,FMSB US,WaFd Inc acquired First Mutual Bancshares Inc for USD 188.29M. The transaction was announced on 7/2/2007 and completed on 2/4/2008.
2010-06-02,SNIC US,DIVX US,Sonic Solutions LLC acquired NLD LLC for USD 188.04M. The transaction was announced on 06/02/2010 and completed on 10/11/2010.
2018-09-11,SYK US,IVTY US,Stryker Corp acquired Invuity Inc for USD 187.97M. The transaction was announced on 9/11/2018 and completed on 10/24/2018.
2013-06-24,WDC US,STEC US,Western Digital Corp acquired HGST Technologies Santa Ana Inc for USD 187.87M. The transaction was announced on 6/24/2013 and completed on 9/13/2013.
2001-06-25,GBBK US,SJNB US,Greater Bay Bancorp acquired SJNB Financial Corp for USD 187.68M. The transaction was announced on 6/25/2001 and completed on 10/24/2001.
2007-02-16,,FICC US,A consortium led by MGIC Investment Corp acquired Fieldstone Investment Corp for USD 187.62M. The transaction was announced on 2/16/2007 and completed on 7/18/2007.
1999-08-04,WFC US,603186Q US,Wells Fargo & Co acquired First Place Financial Corp/MN for USD 187.37M. The transaction was announced on 8/4/1999 and completed on 1/21/2000.
2019-04-15,JEF US,HOFD US,"On 05/03/2019,  Jefferies Financial Group Inc announced the amendment that it will issue two shares of its common stock for each of the remaining Homefed Corp stock. On 04/15/2019, it was announced that Homefed and Jefferies signed a definitive agreement, whereby Jefferies will acquire the re..."
1998-07-24,2898Q US,TBCOA US,Capstar Broadcasting Corp acquired Triathlon Broadcasting Co Inc for USD 186.79M. The transaction was announced on 7/24/1998 and completed on 5/3/1999.
2004-11-23,QTWWQ US,709000Q US,Quantum Fuel Systems Technologies Worldwide Inc acquired Tecstar Automotive Group Inc for USD 186.57M. The transaction was announced on 11/23/2004 and completed on 3/4/2005.
2003-06-02,4107485Q US,0813137D US,Bausch Health Americas Inc acquired Ribapharm Inc for USD 186.56M. The transaction was announced on 6/2/2003 and completed on 8/25/2003.
2003-08-05,RHP US,RZT US,Ryman Hospitality Properties Inc acquired Wyndham Vacation Rentals North America LLC for USD 186.55M. The transaction was announced on 8/5/2003 and completed on 11/21/2003.
1999-12-17,TMO US,TKN US,Thermo Fisher Scientific Inc acquired Thermotrex Corp for USD 186.26M. The transaction was announced on 12/17/1999 and completed on 8/15/2000.
2005-02-28,DFIB US,2290052Q US,Cardiac Science Inc acquired Quinton Cardiology Systems Inc for USD 185.96M. The transaction was announced on 2/28/2005 and completed on 9/1/2005.
2003-07-14,AHMH US,AXM US,American Home Mortgage Holdings Inc acquired Apex Mortgage Capital Inc for USD 185.58M. The transaction was announced on 7/14/2003 and completed on 12/4/2003.
2019-05-16,HTBK US,PDOB US,Heritage Commerce Corp acquired Presidio Bank for USD 185.14M. The transaction was announced on 5/16/2019 and completed on 10/14/2019.
2007-10-16,BATL US,2128424D US,Battalion Oil Corp acquired Ascent Energy Inc for USD 283.92M. The transaction was announced on 10/16/2007 & completed on 11/29/2007.
1998-11-02,3017264Q US,GRW US,ServiceMaster Co/The acquired LandCare USA Inc for USD 183.96M. The transaction was announced on 11/2/1998 and completed on 3/19/1999.
2004-09-22,COF US,8219080Q US,Capital One Financial Corp acquired Onyx Acceptance Corp for USD 183.78M. The transaction was announced on 9/22/2004 and completed on 1/12/2005.
1999-07-30,OK US,MBIA US,Old Kent Financial Corp acquired Merchants Bancorp Inc/Del for USD 183.67M. The transaction was announced on 7/30/1999 and completed on 2/14/2000.
2018-10-11,FIBK US,IIBK US,First Interstate BancSystem Inc acquired Idaho Independent Bank for USD 183.50M. The transaction was announced on 10/11/2018 and completed on 4/8/2019.
2014-12-15,NWBI US,LNBB US,"On 12/15/2014, Northwest Bancshares Inc and LNB Bancorp Inc jointly announced the signing of a definitive merger agreement pursuant to which Northwest Bancshares Inc will acquire LNB Bancorp Inc. The transaction value is approximately USD 183.30M. LNB Bancorp Inc was exploring a sale as of 11..."
2003-12-12,FCF US,828620Q US,First Commonwealth Financial Corp acquired GA Financial Inc for USD 183.23M. The transaction was announced on 12/12/2003 and completed on 5/25/2004.
2006-06-27,,910647Q US,A consortium led by Nuvera Communications Inc acquired Hector Communications Corp for USD 183.05M. The transaction was announced on 6/27/2006 and completed on 11/6/2006.
2014-06-09,EGBN US,VGBK US,Eagle Bancorp Inc acquired Virginia Heritage Bank for USD 182.90M. The transaction was announced on 6/9/2014 and completed on 11/4/2014.
1998-04-06,FMER US,SFSL US,FirstMerit Corp acquired Security First Corp for USD 182.51M. The transaction was announced on 4/6/1998 and completed on 10/23/1998.
2011-02-17,COWN US,LAB US,Cowen Inc acquired LaBranche & Co Inc for USD 182.42M. The transaction was announced on 2/17/2011 and completed on 6/29/2011.
1998-03-31,HU US,DIBK US,Hudson United Bancorp acquired Dime Financial Corp for USD 182.38M. The transaction was announced on 3/31/1998 and completed on 8/24/1998.
2016-06-21,OSIS US,ASEI US,"On 06/21/2016, OSI Systems Inc announced the acquisition of American Science & Engineering Inc for USD 182.30M. American Science & Engineering Inc has hired a banker in regards to a potential sale according to a person familiar with the matter on 06/18/2015. Possible buyers could be L-3 or Sa..."
2004-06-14,BOBE US,MIMI US,Bob Evans Farms Inc/DE acquired Mimi's Cafe Inc for USD 182.00M. The transaction was announced on 6/14/2004 and completed on 7/7/2004.
1998-09-02,MKL US,GRYP US,Markel Group Inc acquired Gryphon Holdings Inc for USD 181.61M. The transaction was announced on 9/2/1998 and completed on 2/18/1999.
2021-07-23,SSB US,ACBI US,SOUTHSTATE BANK CORP acquired Atlantic Capital Bancshares Inc for USD 181.61M. The transaction was announced on 7/23/2021 and completed on 3/1/2022.
2007-12-17,STBA US,IRW US,S&T Bancorp Inc acquired IBT Bancorp Inc/PA for USD 181.44M. The transaction was announced on 12/17/2007 and completed on 6/9/2008.
2005-08-11,CNVR US,2339747Q US,Conversant Inc acquired Fastclick Inc for USD 181.24M. The transaction was announced on 8/11/2005 and completed on 9/30/2005.
2004-06-04,NCC US,WNNB US,National City Corp acquired Wayne Bancorp Inc/OH for USD 181.21M. The transaction was announced on 6/4/2004 and completed on 10/6/2004.
2022-07-25,DNA US,2587124D US,Ginkgo Bioworks Holdings Inc acquired Zymergen Inc for USD 181.11M. The transaction was announced on 7/25/2022 and completed on 10/20/2022.
2014-01-21,TCBK US,NOVB US,TriCo Bancshares acquired North Valley Bancorp for USD 180.93M. The transaction was announced on 1/21/2014 and completed on 10/6/2014.
2007-08-23,XRIT US,PTNE US,X-Rite Inc acquired Pantone Inc for USD 180.00M. The transaction was announced on 8/23/2007 and completed on 10/24/2007.
2006-09-12,NUE US,VCMF US,Nucor Corp acquired Verco Manufacturing Co for USD 180.00M. The transaction was announced on 9/12/2006 and completed on 12/31/2006.
2020-03-09,UCB US,TSHR US,United Community Banks Inc/GA acquired Three Shores BanCorp Inc for USD 180.00M. The transaction was announced on 3/9/2020 and completed on 6/30/2020.
2017-08-02,1850242D US,,EQT RE Merger Sub Inc acquired 16500 net acres Marcellus Shale/PA & West VA for USD 180.00M. The transaction was announced on 8/2/2017 and completed on 7/31/2017.
2016-01-12,UBSN SW,,A consortium led by Westcore Properties LLC sold 1221 City Center/Oakland to UBS AG for USD 179.80M. The transaction was completed on 1/12/2016.
2015-10-26,ELGXQ US,TRIV US,Endologix Inc acquired TriVascular Technologies Inc for USD 179.50M. The transaction was announced on 10/26/2015 and completed on 2/5/2016.
2008-03-20,SNPS US,SYNP US,Synopsys Inc acquired Synplicity Inc for USD 179.29M. The transaction was announced on 3/20/2008 and completed on 5/16/2008.
2015-04-29,PFLT US,MCGC US,PennantPark Floating Rate Capital Ltd announced the acquisition of MCG Capital Corp for USD 70.17M. The transaction was announced on 04/29/2015 and was completed on 08/19/2015. The agreement comes after MCG began reviewing strategic alternatives in February. HC2 Holding Inc submitted a letter...
1998-03-23,62553Q US,WSHI US,Nielsen Media Research Inc acquired Walsh International Inc for USD 178.41M. The transaction was announced on 3/23/1998 and completed on 6/25/1998.
2007-08-06,1986522D US,HEM US,Alere Inc acquired HemoSense Inc for USD 178.29M. The transaction was announced on 8/6/2007 and completed on 11/7/2007.
2006-05-22,2761917Q US,BWCF US,First Republic Bank/Old acquired BWC Financial Corp for USD 178.16M. The transaction was announced on 5/22/2006 and completed on 10/16/2006.
2004-04-20,OMEF US,SUBI US,Omega Financial Corp acquired Sun Bancorp Inc/PA for USD 178.00M. The transaction was announced on 4/20/2004 and completed on 10/1/2004.
2008-05-29,BMY US,KOSN US,Bristol-Myers Squibb Co acquired Kosan Biosciences Inc for USD 177.81M. The transaction was announced on 5/29/2008 and completed on 6/27/2008.
2001-05-30,DE US,150233Q US,Deere & Co acquired Richton International Corp for USD 177.76M. The transaction was announced on 5/30/2001 and completed on 10/3/2001.
1998-06-24,MYL US,1065933D US,Mylan NV acquired Penederm Inc for USD 177.44M. The transaction was announced on 6/24/1998 and completed on 10/5/1998.
2003-08-25,FULT US,RBKV US,Fulton Financial Corp acquired Resource Bankshares Corp for USD 177.35M. The transaction was announced on 8/25/2003 and completed on 4/1/2004.
2006-04-25,WBS US,NMIL US,Webster Financial Corp acquired NewMil Bancorp Inc for USD 177.31M. The transaction was announced on 4/25/2006 and completed on 10/9/2006.
2021-12-02,SLRC US,SUNS US,SLR Investment Corp acquired SLR Senior Investment Corp for USD 177.28M. The transaction was announced on 12/2/2021 and completed on 4/4/2022.
2002-08-19,BRK/A US,260315Q US,Berkshire Hathaway Inc acquired CTB International Corp for USD 177.06M. The transaction was announced on 8/19/2002 and completed on 11/1/2002.
2002-06-27,CAH US,1011622D US,Cardinal Health Inc acquired Boron Lepore & Associates Inc for USD 177.03M. The transaction was completed on 6/27/2002.
2010-11-16,,CACB US,A consortium led by Lightyear Capital LLC acquired Cascade Bancorp for USD 177.00M. The transaction was completed on 11/16/2010.
2001-08-13,WLY US,811920Q US,John Wiley & Sons Inc acquired Hungry Minds Inc for USD 176.58M. The transaction was announced on 8/13/2001 and completed on 9/26/2001.
2010-02-03,MCHP US,1507755D US,Microchip Technology Inc acquired Silicon Storage Technology Inc for USD 176.50M. The transaction was announced on 2/3/2010 and completed on 4/9/2010.
2004-04-29,BMC US,MRBA US,BMC Software Inc acquired Marimba Inc for USD 175.85M. The transaction was announced on 4/29/2004 and completed on 7/15/2004.
2000-08-22,TCF US,SLFC US,TCF Financial Corp acquired Shoreline Financial Corp for USD 175.83M. The transaction was announced on 8/22/2000 and completed on 1/10/2001.
2006-09-19,UCBHQ US,SBGA US,UCBH Holdings Inc acquired Summit Bank Corp for USD 175.59M. The transaction was announced on 9/19/2006 and completed on 1/3/2007.
2017-06-12,CARO US,FSBK US,Carolina Financial Corp acquired First South Bancorp Inc/NC for USD 175.53M. The transaction was announced on 6/12/2017 and completed on 11/1/2017.
1998-03-11,1947467D US,UDCI US,Protective Life Corp acquired United Dental Care Inc/Del for USD 175.10M. The transaction was announced on 3/11/1998 and completed on 9/14/1998.
2003-06-13,,FOMR US,A consortium led by Oaktree Capital Group LLC acquired Formica Corp for USD 175.00M. The transaction was announced on 6/13/2003 and completed on 6/10/2004.
1999-12-09,TTN US,ACSC US,Titan Corp acquired Advanced Communication Systems Inc for USD 175.00M. The transaction was announced on 12/9/1999 and completed on 2/28/2000.
1998-04-02,NEQSQ US,FCNT US,National Equipment Services Inc acquired Falconite Inc for USD 175.00M. The transaction was announced on 4/2/1998 and completed on 7/17/1998.
2022-04-19,COEP US,2199898D US,Coeptis Therapeutics Holdings acquired Coeptis Therapeutics Inc for USD 175.00M. The transaction was announced on 4/19/2022 and completed on 10/31/2022.
2011-10-17,STNR US,0300978Z US,HIG Growth Partners LLC sold Ideal Image Development Inc to Steiner Leisure Ltd for USD 175.00M. The transaction was announced on 10/17/2011 and completed on 11/1/2011.
1998-03-02,SOCNQ US,2277Q US,Sunbeam Corp acquired First Alert Inc for USD 175.00M. The transaction was announced on 3/2/1998 and completed on 4/8/1998.
1998-12-11,CBRL US,RDHS US,Cracker Barrel Old Country Store Inc acquired Logan's Roadhouse Inc/Old for USD 174.71M. The transaction was announced on 12/11/1998 and completed on 2/17/1999.
2011-12-23,PERFQ US,PARL US,Perfumania Holdings Inc acquired Parlux Fragrances LLC for USD 174.62M. The transaction was announced on 12/23/2011 and completed on 4/19/2012.
2015-07-27,CMCO US,1413331D US,Columbus McKinnon Corp/NY acquired Magnetek Inc for USD 174.56M. The transaction was announced on 7/27/2015 and completed on 9/2/2015.
1999-07-16,597946Q US,2602691D US,Sterling Software Inc acquired Information Advantage Inc for USD 169.92M. The transaction was announced on 07/16/1999 and completed on 09/01/1999.
2019-02-21,MRK US,IMDZ US,Merck & Co Inc acquired Immune Design Corp for USD 174.38M. The transaction was announced on 2/21/2019 and completed on 4/3/2019.
2017-04-17,AME US,MOCO US,AMETEK Inc acquired MOCON Inc for USD 174.28M. The transaction was announced on 4/17/2017 and completed on 6/23/2017.
2001-06-28,TEX US,275256Q US,Terex Corp acquired CMI Terex Corp for USD 174.27M. The transaction was announced on 6/28/2001 and completed on 10/2/2001.
2017-01-26,MSBI US,CFCB US,Midland States Bancorp Inc acquired Centrue Financial Corp for USD 174.24M. The transaction was announced on 1/26/2017 and completed on 6/12/2017.
2015-12-17,TOWN US,MNRK US,Towne Bank/Portsmouth VA acquired Monarch Financial Holdings Inc for USD 174.11M. The transaction was announced on 12/17/2015 and completed on 6/27/2016.
2000-06-27,3346Q US,SLJ US,US Bancorp/Old acquired Scripps Financial Corp/CA for USD 174.02M. The transaction was announced on 6/27/2000 and completed on 10/16/2000.
1999-10-12,1498499D US,CGE US,HCC Insurance Holdings Inc acquired Centris Group Inc/The for USD 173.88M. The transaction was announced on 10/12/1999 and completed on 12/20/1999.
1999-12-21,2258717D US,SWRX US,EMC Corp acquired SOFTWORKS Inc for USD 173.76M. The transaction was announced on 12/21/1999 and completed on 1/28/2000.
2011-10-24,CBST US,ADLR US,Cubist Pharmaceuticals LLC acquired Adolor Corp for USD 173.36M. The transaction was announced on 10/24/2011 and completed on 12/13/2011.
2000-09-05,UGS US,EAII US,Unigraphics Solutions Inc acquired Engineering Animation Inc for USD 173.09M. The transaction was announced on 9/5/2000 and completed on 10/24/2000.
1998-04-17,3059Q US,2127Q US,Sterling Commerce Inc acquired Xcellenet Inc for USD 173.05M. The transaction was announced on 4/17/1998 and completed on 7/21/1998.
1998-05-28,RSFC US,FFPB US,Republic Security Financial Corp acquired First Palm Beach Bancorp Inc for USD 172.89M. The transaction was announced on 5/28/1998 and completed on 10/30/1998.
1998-07-06,DAVLE US,638887Q US,Davel Communications Inc acquired Peoples Telephone Co Inc for USD 172.76M. The transaction was announced on 7/6/1998 and completed on 12/24/1998.
2005-06-23,SLXP US,INKP US,Salix Pharmaceuticals Ltd acquired InKine Pharmaceutical Co Inc for USD 172.48M. The transaction was announced on 6/23/2005 and completed on 10/3/2005.
2005-10-03,GEN US,BVEW US,A consortium led by General Atlantic LP sold BindView Development Corp to Gen Digital Inc for USD 172.43M. The transaction was announced on 10/3/2005 and completed on 1/9/2006.
2003-04-07,894800Q US,INRG US,Computer Network Technology Corp acquired Inrange Technologies Corp for USD 172.41M. The transaction was announced on 4/7/2003 and completed on 5/6/2003.
2022-06-21,FBNC US,GRRB US,First Bancorp/Southern Pines NC acquired GrandSouth Bancorporation for USD 172.40M. The transaction was announced on 6/21/2022 and completed on 12/30/2022.
2001-01-24,TFC US,VCAP US,Truist Financial Corp acquired Virginia Capital Bancshares Inc for USD 171.85M. The transaction was announced on 1/24/2001 and completed on 6/28/2001.
2001-04-20,MBFI US,MCYF US,MB Financial Inc acquired MidCity Financial Corp for USD 171.64M. The transaction was announced on 4/20/2001 and completed on 11/8/2001.
2000-01-31,TMO US,696119Q US,Thermo Fisher Scientific Inc acquired Thermo Instrument Systems Inc for USD 171.57M. The transaction was announced on 1/31/2000 and completed on 7/3/2000.
2007-01-02,CKFR US,CANI US,CheckFree Corp/DE acquired Carreker Corp for USD 171.55M. The transaction was announced on 1/2/2007 and completed on 4/3/2007.
2015-11-20,BCR US,LBMH US,CR Bard Inc acquired Liberator Medical Holdings Inc for USD 171.48M. The transaction was announced on 11/20/2015 and completed on 1/22/2016.
1999-04-29,COR US,CDH US,Cencora Inc acquired CD Smith Healthcare Inc for USD 171.41M. The transaction was announced on 4/29/1999 and completed on 7/9/1999.
2001-10-30,KO US,ODWA US,Coca-Cola Co/The acquired Odwalla Inc for USD 171.18M. The transaction was announced on 10/30/2001 and completed on 12/13/2001.
1999-09-23,TXT US,0124645D US,Textron Inc acquired Litchfield Financial Corp for USD 171.11M. The transaction was announced on 9/23/1999 and completed on 11/4/1999.
2010-09-20,ARW US,NUHC US,Arrow Electronics Inc acquired Nu Horizons Electronics Corp for USD 170.90M. The transaction was announced on 9/20/2010 and completed on 1/4/2011.
